rank,eligible,eligibility_reasons,distribution_ready,distribution_readiness_reasons,apn,site_apns,site_type,parcel_count,residential_zoning,SITUS_ADD,SITUS_CTY,FID,centroid_lon,centroid_lat,score,gross_acres,screenable_acres,excluded_acres,wetland_exclusion_acres,protected_exclusion_acres,farmland_exclusion_acres,city_exclusion_acres,improvement_value,improvement_value_per_acre,flat_fraction,open_fraction,contiguous_acres,mean_slope_deg,estimated_mw,reference_project_mw,reference_battery_mwh,reference_annual_mwh,reference_average_kw,static_pv_export_limit_mw,reference_export_gap_mw,interconnection_path,screened_project_mw,screened_annual_mwh,transmission_distance_m,transmission_Name,transmission_kV,transmission_Owner,transmission_Status,transmission_Type,highway_1_side,highway_1_distance_m,highway_1_viewshed_exposure,highway_1_visible_length_m,highway_1_nearest_visible_distance_m,pge_distance_m,pge_FeederId,pge_FeederName,pge_CSV_LineSection,pge_GenCapacity_kW,pge_GenericPVCapacity_kW,pge_voltage_kv,pge_phase_cnt,pge_ICA_Analysis_Date,pge_Feeder_Name,pge_Substation,pge_Nominal_Voltage,pge_ResCust,pge_ComCust,pge_IndCust,pge_AgrCust,pge_OthCust,pge_Existing_DG,pge_Queued_DG,pge_Total_DG,pge_profile_min_load_kw,pge_profile_peak_load_kw,pge_profile_min_midday_load_kw,fire_hazard,solar_kwh_m2_day,annual_mwh_per_mw,LCP_CODE,GEN_PLAN,BASEZONE,score_contiguous_land,score_flat_fraction,score_open_land_cover,score_undeveloped,score_industrial_reuse,score_distribution_proximity,score_residential_demand,score_evening_peak_demand,score_grid_hosting_capacity,score_solar_resource,score_transmission_proximity,score_low_highway_visibility
61,True,,False,insufficient_static_pv_ica,1322202600,1322202600,greenfield,1,False,NONE, ,38530,-123.67214599217793,39.00637444305129,0.6239197206259055,70.78134690422273,64.56556279591858,6.215784108304149,6.21578410830325,0.0,0.0,0.0,0.0,0.0,0.3006993006993007,0.6433566433566433,14.010875129188275,15.29487690702898,2.5474318416705954,1.0,4.0,1545.7377699999997,176.4540833333333,0.0,1.0,controlled_export_or_distribution_upgrade,0.0,0.0,404.1396334485374,PG&E 60kV,60,PG&E,Operational,OH,east,1000.0072582887469,0.005303829059475741,1700.0,1597.1566406808088,415.3002736275936,042981101,ELK 1101,3189014,0.0,0.0,12,3.0,May 2026,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,0.7005437564594137,0.3006993006993007,0.6433566433566433,1.0,0.0,0.6601420277000135,0.4824175824175824,0.5171584699453552,0.0,1.0,0.6675509023262731,0.8674042735131064
62,True,,True,,1271100800,1271100800,greenfield,1,False,4801 S HWY 1,ELK,21962,-123.72834227001464,39.14393251055367,0.6219651828328956,75.26184367455416,55.043915875709466,20.21792779884469,20.21792779884543,0.0,0.0,0.0,0.0,0.0,0.6129032258064516,0.7459677419354839,23.129063705326676,8.355844028296518,4.205284310059396,1.0,4.0,1545.7377699999997,176.4540833333333,1.18,0.0,static_distribution,0.873,1349.4290732099998,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,3.4166640563351462,0.030077647758283133,4400.0,31.177541449759403,0.0,042981101,ELK 1101,3233329,820.0,1180.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,1.0,0.6129032258064516,0.7459677419354839,1.0,0.0,1.0,0.4824175824175824,0.5171584699453552,0.59,1.0,1.0,0.24805880604292163
63,True,,False,insufficient_static_pv_ica,1270401100,1270401100,greenfield,1,False,3401 S HWY 1,ELK,49919,-123.72886140183738,39.15885741167123,0.6196749109021205,123.85377835681895,110.1897987540392,13.663979602779747,13.663979602779179,0.0,0.0,0.0,246305.0,1988.675705075406,0.47474747474747475,0.2767676767676768,16.012428719072314,13.85221560182807,2.9113506761949663,1.0,4.0,1545.7377699999997,176.4540833333333,0.0,1.0,controlled_export_or_transmission_study,0.0,0.0,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,4.0152308085010855,0.01132614614958962,700.0,42.54747187043184,0.0,042981101,ELK 1101,4105228,0.0,0.0,12,3.0,May 2026,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,0.8006214359536157,0.47474747474747475,0.2767676767676768,0.8011324294924593,0.0,1.0,0.4824175824175824,0.5171584699453552,0.0,1.0,1.0,0.7168463462602594
64,True,,False,insufficient_static_pv_ica,1321900300,1321900300,greenfield,1,False,17500 S HWY 1,MANCHESTER,25971,-123.69387615283847,38.99587221033729,0.6184938428085951,67.14217332331891,61.636579231626754,5.50559409169216,5.504931014134464,0.0006630775577575697,0.0,0.0,91672.0,1365.341564958871,0.989247311827957,0.9354838709677419,57.15547473335534,2.359812379019477,10.391904496973698,1.0,4.0,1460.8278200000002,166.7611666666667,0.0,1.0,controlled_export_or_distribution_upgrade,0.0,0.0,919.7936437747129,PG&E 60kV,60,PG&E,Operational,OH,west,12.761014098671271,0.024743112335854633,2200.0,38.10540582916543,172.36008738510566,042981101,ELK 1101,4720902,0.0,0.0,12,3.0,May 2026,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.6538,1460.8278200000002,R,AG60,AG,1.0,0.989247311827957,0.9354838709677419,0.8634658435041129,0.0,0.84167604166991,0.4824175824175824,0.5171584699453552,0.0,0.9450683345856266,0.3986012864551676,0.3814221916036342
65,True,,False,insufficient_static_pv_ica,0271610100,0271610100,greenfield,1,False,NONE, ,27466,-123.68185414913053,38.93475091868823,0.6182279003888627,213.06720401067616,174.92900554281022,38.13819846786595,38.13819846786524,0.0,0.0,0.0,0.0,0.0,0.5778635778635779,0.4839124839124839,19.348351368879044,9.934612346282945,3.5178820670689173,1.0,4.0,1460.8278200000002,166.7611666666667,0.196,0.804,controlled_export_or_distribution_upgrade,0.196,286.32225272000005,111.35181097780054,PG&E 60kV,60,PG&E,Operational,OH,east,1280.8402314781433,0.004740335283586505,1200.0,2163.0106604084276,0.0,043381101,POINT ARENA 1101,3799699,106.0,196.0,12,3.0,Mar 2026,POINT ARENA 1101,POINT ARENA,12,713,162,15,24,17,382,687,1069,576.0,1344.0,581.0,High,4.6538,1460.8278200000002,R,PF,PF,0.9674175684439522,0.5778635778635779,0.4839124839124839,1.0,0.0,1.0,0.2611721611721612,0.2937704918032787,0.098,0.9450683345856266,0.8946239550299203,0.8814916179103374
66,True,,False,insufficient_static_pv_ica,0270610800,0270610800,greenfield,1,False,NONE, ,36586,-123.69830039901886,38.91707196750352,0.61698760989004,19.073120504357405,19.028906275366662,0.04421422899074301,0.0,0.044214228991159794,0.0,0.0,0.0,0.0,1.0,0.9456521739130435,19.348351368879044,1.15500290399359,3.5178820670689173,1.0,4.0,1460.8278200000002,166.7611666666667,0.31,0.69,controlled_export_or_distribution_upgrade,0.31,452.85662420000006,1462.690318211752,PG&E 60kV,60,PG&E,Operational,OH,east,160.5829838922869,0.007703733914813995,1100.0,236.89943554218152,280.978609906723,043381101,POINT ARENA 1101,5572516,220.0,310.0,12,3.0,Feb 2025,POINT ARENA 1101,POINT ARENA,12,713,162,15,24,17,382,687,1069,576.0,1344.0,581.0,Moderate,4.6538,1460.8278200000002, , , ,0.9674175684439522,1.0,0.9456521739130435,1.0,0.0,0.7550444857794583,0.2611721611721612,0.2937704918032787,0.155,0.9450683345856266,0.23161232493850314,0.8074066521296501
67,True,,True,,1271400100,1271400100,greenfield,1,False,NONE, ,29291,-123.71653953617894,39.139643748812084,0.6168174990239372,145.1152447508225,131.48992238639389,13.625322364428627,13.625322364429518,0.0,0.0,0.0,0.0,0.0,0.5942275042444821,0.41765704584040747,45.813337724012456,11.15604625746918,8.329697768002264,1.0,4.0,1545.7377699999997,176.4540833333333,1.18,0.0,static_distribution,0.873,1349.4290732099998,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,1.2739450331739222,0.020130611744816534,1200.0,33.717148051238105,503.8905996175291,042981101,ELK 1101,3233329,820.0,1180.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,1.0,0.5942275042444821,0.41765704584040747,1.0,0.0,0.6041754762686598,0.4824175824175824,0.5171584699453552,0.59,1.0,1.0,0.4967347063795866
68,True,,False,insufficient_static_pv_ica,1331502300,1331502300,greenfield,1,False,NONE, ,38193,-123.6745849243059,38.953328349721225,0.6164394107837667,33.30462318420741,25.400282034296204,7.904341149911204,7.9043411499125416,0.0,0.0,0.0,0.0,0.0,0.8407079646017699,0.9911504424778761,20.90511527212219,6.190409381741089,3.8009300494767615,1.0,4.0,1460.8278200000002,166.7611666666667,0.23,0.77,controlled_export_or_transmission_study,0.23,335.99039860000005,38.057327510383544,PG&E 60kV,60,PG&E,Operational,OH,east,858.775399042153,0.0024847859830667627,2500.0,1508.9010866150768,767.998394026553,043381101,POINT ARENA 1101,3996793,160.0,230.0,12,3.0,Feb 2025,POINT ARENA 1101,POINT ARENA,12,713,162,15,24,17,382,687,1069,576.0,1344.0,581.0,Moderate,4.6538,1460.8278200000002,R,RL160,RL,1.0,0.8407079646017699,0.9911504424778761,1.0,0.0,0.4639407661675999,0.2611721611721612,0.2937704918032787,0.115,0.9450683345856266,0.9626577525370048,0.937880350423331
69,True,,False,insufficient_static_pv_ica,1331101700,1331101700,greenfield,1,False,20051 S HWY 1,MANCHESTER,36136,-123.6826327319231,38.95722497972909,0.6158111893130389,74.47019724250231,61.947073769445964,12.523123473056344,12.523123473056053,0.0,0.0,0.0,0.0,0.0,0.8602150537634409,0.6451612903225806,31.357672908183282,5.297104362321861,5.701395074215142,1.0,4.0,1460.8278200000002,166.7611666666667,0.23,0.77,controlled_export_or_transmission_study,0.23,335.99039860000005,43.750688903972666,PG&E 60kV,60,PG&E,Operational,OH,east,6.270967669840233,0.0019980804871570453,1500.0,736.8353004100802,595.0938081057978,043381101,POINT ARENA 1101,3996793,160.0,230.0,12,3.0,Feb 2025,POINT ARENA 1101,POINT ARENA,12,713,162,15,24,17,382,687,1069,576.0,1344.0,581.0,Moderate,4.6538,1460.8278200000002,R,RL160,RL,1.0,0.8602150537634409,0.6451612903225806,1.0,0.0,0.5515108272550853,0.2611721611721612,0.2937704918032787,0.115,0.9450683345856266,0.9571925664557296,0.9500479878210739
70,True,,False,insufficient_static_pv_ica,1331102700,1331102700,greenfield,1,False,20001 S HWY 1,MANCHESTER,26165,-123.67418503676019,38.963925688370075,0.6145049039097226,76.34438161906054,76.34438161906054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970845481049563,0.6268221574344023,47.37010162725559,4.064459984649104,8.612745750410108,1.0,4.0,1460.8278200000002,166.7611666666667,0.033,0.967,controlled_export_or_distribution_upgrade,0.033,48.207318060000006,204.27215543915116,PG&E 60kV,60,PG&E,Operational,OH,east,810.1963637894216,0.0009266121832013158,2000.0,2524.4748460992923,801.490058967795,043381101,POINT ARENA 1101,4284514,23.0,33.0,12,3.0,Mar 2026,POINT ARENA 1101,POINT ARENA,12,713,162,15,24,17,382,687,1069,576.0,1344.0,581.0,Moderate,4.6538,1460.8278200000002, ,RL160,RL,1.0,0.9970845481049563,0.6268221574344023,1.0,0.0,0.44865993603418164,0.2611721611721612,0.2937704918032787,0.0165,0.9450683345856266,0.8152404688648826,0.9768346954199671
